CollarSerialNumber,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
044663,22,074,00,00,00,+01,+38.07071,-109.56560,00.8,09,038,3,2022-03-15
044663,22,074,00,10,00,+01,+38.07069,-109.56558,00.8,09,038,3,2022-03-15
044663,22,074,00,20,00,+00,+38.07071,-109.56562,01.0,08,038,3,2022-03-15
044663,22,074,00,30,00,+00,+38.07071,-109.56560,00.8,09,038,3,2022-03-15
044663,22,074,00,40,00,+00,+38.07071,-109.56562,00.9,08,038,3,2022-03-15
044663,22,074,00,50,00,+00,+38.07069,-109.56562,00.9,09,038,3,2022-03-15
044663,22,074,01,00,00,+00,+38.07065,-109.56555,01.0,08,038,3,2022-03-15
044663,22,074,01,10,00,-01,+38.07067,-109.56560,01.0,07,038,3,2022-03-15
044663,22,074,01,20,00,-01,+38.07071,-109.56565,00.9,09,038,3,2022-03-15
044663,22,074,01,30,00,-01,+38.07067,-109.56565,00.8,10,038,3,2022-03-15
044663,22,074,01,40,00,-01,+38.07068,-109.56566,00.9,09,038,3,2022-03-15
044663,22,074,01,50,00,-01,+38.07069,-109.56562,00.8,10,038,3,2022-03-15
044663,22,074,02,00,00,-02,+38.07073,-109.56562,00.8,10,038,3,2022-03-15
044663,22,074,02,10,00,-02,+38.07070,-109.56562,00.9,09,038,3,2022-03-15
044663,22,074,02,20,00,-02,+38.07067,-109.56562,00.9,09,038,3,2022-03-15
044663,22,074,02,30,00,-03,+38.07064,-109.56568,00.9,09,038,3,2022-03-15
044663,22,074,02,40,00,-03,+38.07070,-109.56566,01.1,08,038,3,2022-03-15
044663,22,074,02,50,00,-02,+38.07066,-109.56569,01.4,07,038,3,2022-03-15
044663,22,074,03,00,00,-02,+38.07067,-109.56564,01.4,07,038,3,2022-03-15
044663,22,074,03,10,00,-03,+38.07071,-109.56562,01.5,07,038,3,2022-03-15
044663,22,074,03,20,00,-03,+38.07067,-109.56564,01.3,08,038,3,2022-03-15
044663,22,074,03,30,00,-03,+38.07067,-109.56562,01.2,08,038,3,2022-03-15
044663,22,074,03,40,00,-03,+38.07067,-109.56562,01.1,08,038,3,2022-03-15
044663,22,074,03,50,00,-02,+38.07069,-109.56562,01.1,08,038,3,2022-03-15
044663,22,074,04,00,00,-03,+38.07071,-109.56566,00.9,09,038,3,2022-03-15
044663,22,074,04,10,00,-03,+38.07069,-109.56565,00.8,10,038,3,2022-03-15
044663,22,074,04,20,00,-03,+38.07069,-109.56562,00.8,10,038,3,2022-03-15
044663,22,074,04,30,00,-03,+38.07073,-109.56566,00.8,10,038,3,2022-03-15
044663,22,074,04,50,00,-03,+38.07073,-109.56566,00.9,09,038,3,2022-03-15
044663,22,074,05,00,00,-03,+38.07073,-109.56566,00.9,09,038,3,2022-03-15
044663,22,074,05,10,00,-03,+38.07077,-109.56562,01.0,07,043,3,2022-03-15
044663,22,074,05,20,00,-03,+38.07072,-109.56565,00.9,09,038,3,2022-03-15
044663,22,074,05,30,00,-03,+38.07074,-109.56562,00.9,09,038,3,2022-03-15
044663,22,074,05,40,00,-03,+38.07073,-109.56562,00.7,10,038,3,2022-03-15
044663,22,074,05,50,00,-03,+38.07072,-109.56560,00.8,10,038,3,2022-03-15
044663,22,074,06,00,00,-04,+38.07071,-109.56562,00.8,09,038,3,2022-03-15
044663,22,074,06,10,00,-04,+38.07072,-109.56562,00.8,09,038,3,2022-03-15
044663,22,074,06,20,00,-03,+38.07069,-109.56562,00.8,09,038,3,2022-03-15
044663,22,074,06,30,00,-03,+38.07067,-109.56560,00.8,09,038,3,2022-03-15
044663,22,074,06,40,00,-04,+38.07067,-109.56564,01.3,07,038,3,2022-03-15
044663,22,074,06,50,00,-03,+38.07072,-109.56560,01.1,08,038,3,2022-03-15
044663,22,074,07,00,00,-04,+38.07072,-109.56564,01.0,08,038,3,2022-03-15
044663,22,074,07,10,00,-04,+38.07069,-109.56566,01.0,08,039,3,2022-03-15
044663,22,074,07,20,00,-04,+38.07070,-109.56568,01.0,08,038,3,2022-03-15
044663,22,074,07,30,00,-03,+38.07069,-109.56566,01.0,07,038,3,2022-03-15
044663,22,074,07,40,02,-03,+38.07078,-109.56565,01.0,07,038,3,2022-03-15
044663,22,074,07,50,00,-03,+38.07071,-109.56566,01.0,07,038,3,2022-03-15
044663,22,074,11,01,00,+22,+38.07066,-109.56566,00.8,09,038,3,2022-03-15
044663,22,074,12,00,02,+20,+38.07069,-109.56571,00.8,09,037,3,2022-03-15
044663,22,074,13,00,00,+28,+38.07069,-109.56568,01.0,08,038,3,2022-03-15
044663,22,074,14,00,22,+25,+38.16108,-109.61945,00.9,08,038,3,2022-03-15
044663,22,074,15,00,24,+25,+38.07069,-109.56555,01.3,07,038,3,2022-03-15
044663,22,074,16,00,02,+27,+38.07072,-109.56565,01.3,06,038,3,2022-03-15
044663,22,074,17,00,02,+27,+38.07073,-109.56569,00.8,08,038,3,2022-03-15
044663,22,074,17,20,00,+27,+38.07065,-109.56562,00.9,07,038,3,2022-03-15
044663,22,074,17,30,00,+27,+38.07065,-109.56558,00.8,08,037,3,2022-03-15
044663,22,074,17,40,00,+26,+38.07062,-109.56554,00.8,08,038,3,2022-03-15
044663,22,074,17,50,00,+25,+38.07066,-109.56560,00.9,08,038,3,2022-03-15
044663,22,074,18,00,00,+25,+38.07062,-109.56565,01.0,07,038,3,2022-03-15
044663,22,074,18,10,00,+25,+38.07067,-109.56560,01.1,07,039,3,2022-03-15
044663,22,074,18,20,00,+24,+38.07061,-109.56554,01.2,07,038,3,2022-03-15
044663,22,074,18,30,00,+23,+38.07066,-109.56564,01.2,07,038,3,2022-03-15
044663,22,074,18,40,00,+22,+38.07065,-109.56562,01.6,07,038,3,2022-03-15
044663,22,074,18,50,00,+20,+38.07064,-109.56558,01.0,08,038,3,2022-03-15
044663,22,074,19,00,00,+20,+38.07064,-109.56555,01.3,07,038,3,2022-03-15
044663,22,074,19,10,00,+19,+38.07064,-109.56554,01.3,07,038,3,2022-03-15
044663,22,074,19,20,00,+18,+38.07071,-109.56571,01.4,05,038,3,2022-03-15
044663,22,074,19,30,00,+16,+38.07065,-109.56562,01.1,07,038,3,2022-03-15
044663,22,074,19,40,00,+16,+38.07070,-109.56565,01.1,07,038,3,2022-03-15
044663,22,074,19,50,00,+15,+38.07066,-109.56562,01.0,08,038,3,2022-03-15
044663,22,074,20,00,00,+14,+38.07066,-109.56562,00.9,09,037,3,2022-03-15
044663,22,074,20,10,00,+13,+38.07065,-109.56555,00.9,09,039,3,2022-03-15
044663,22,074,20,20,00,+13,+38.07066,-109.56560,00.8,09,038,3,2022-03-15
044663,22,074,20,30,00,+13,+38.07065,-109.56558,00.9,08,038,3,2022-03-15
044663,22,074,20,40,00,+12,+38.07064,-109.56558,00.9,08,037,3,2022-03-15
044663,22,074,20,50,00,+12,+38.07066,-109.56562,00.8,09,038,3,2022-03-15
044663,22,074,21,00,00,+10,+38.07065,-109.56562,00.9,09,038,3,2022-03-15
044663,22,074,21,10,00,+10,+38.07067,-109.56562,00.8,10,038,3,2022-03-15
044663,22,074,21,20,00,+10,+38.07067,-109.56562,00.8,10,038,3,2022-03-15
044663,22,074,21,30,00,+09,+38.07069,-109.56560,00.9,09,038,3,2022-03-15
044663,22,074,21,40,00,+09,+38.07063,-109.56555,01.0,08,038,3,2022-03-15
044663,22,074,21,50,00,+08,+38.07065,-109.56560,01.1,08,038,3,2022-03-15
044663,22,074,22,00,00,+08,+38.07066,-109.56562,00.9,09,038,3,2022-03-15
044663,22,074,22,10,00,+08,+38.07060,-109.56560,00.9,09,038,3,2022-03-15
044663,22,074,22,20,00,+07,+38.07067,-109.56560,00.9,09,038,3,2022-03-15
